K,n,δ,A,up
0.031,3.9,350.0,20.0,1.3
0.031,3.9,350.0,20.0,1.4
0.031,3.9,350.0,20.0,1.5
0.031,3.9,350.0,20.0,1.6
0.031,3.9,350.0,20.0,1.7
0.031,3.9,350.0,20.0,1.8
0.031,4.0,310.0,20.0,1.0
0.031,4.0,315.0,20.0,1.0
0.031,4.0,315.0,20.0,1.1
0.031,4.0,320.0,20.0,1.0
0.031,4.0,320.0,20.0,1.1
0.031,4.0,325.0,20.0,1.0
0.031,4.0,325.0,20.0,1.1
0.031,4.0,325.0,20.0,1.2
0.031,4.0,330.0,20.0,1.0
0.031,4.0,330.0,20.0,1.1
0.031,4.0,330.0,20.0,1.2
0.031,4.0,330.0,20.0,1.3
0.031,4.0,335.0,20.0,1.0
0.031,4.0,335.0,20.0,1.1
0.031,4.0,335.0,20.0,1.2
0.031,4.0,335.0,20.0,1.3
0.031,4.0,335.0,20.0,1.4
0.031,4.0,340.0,20.0,1.0
0.031,4.0,340.0,20.0,1.1
0.031,4.0,340.0,20.0,1.2
0.031,4.0,340.0,20.0,1.3
0.031,4.0,340.0,20.0,1.4
0.031,4.0,340.0,20.0,1.5
0.031,4.0,345.0,20.0,1.0
0.031,4.0,345.0,20.0,1.1
0.031,4.0,345.0,20.0,1.2
0.031,4.0,345.0,20.0,1.3
0.031,4.0,345.0,20.0,1.4
0.031,4.0,345.0,20.0,1.5
0.031,4.0,345.0,20.0,1.6
0.031,4.0,350.0,20.0,1.0
0.031,4.0,350.0,20.0,1.1
0.031,4.0,350.0,20.0,1.2
0.031,4.0,350.0,20.0,1.3
0.031,4.0,350.0,20.0,1.4
0.031,4.0,350.0,20.0,1.5
0.031,4.0,350.0,20.0,1.6
0.031,4.0,350.0,20.0,1.7
0.031,4.1,310.0,20.0,1.0
0.031,4.1,315.0,20.0,1.0
0.031,4.1,320.0,20.0,1.0
0.031,4.1,320.0,20.0,1.1
0.031,4.1,325.0,20.0,1.0
0.031,4.1,325.0,20.0,1.1
0.031,4.1,325.0,20.0,1.2
0.031,4.1,330.0,20.0,1.0
0.031,4.1,330.0,20.0,1.1
0.031,4.1,330.0,20.0,1.2
0.031,4.1,330.0,20.0,1.3
0.031,4.1,335.0,20.0,1.0
0.031,4.1,335.0,20.0,1.1
0.031,4.1,335.0,20.0,1.2
0.031,4.1,335.0,20.0,1.3
0.031,4.1,335.0,20.0,1.4
0.031,4.1,340.0,20.0,1.0
0.031,4.1,340.0,20.0,1.1
0.031,4.1,340.0,20.0,1.2
0.031,4.1,340.0,20.0,1.3
0.031,4.1,340.0,20.0,1.4
0.031,4.1,340.0,20.0,1.5
0.031,4.1,345.0,20.0,1.0
0.031,4.1,345.0,20.0,1.1
0.031,4.1,345.0,20.0,1.2
0.031,4.1,345.0,20.0,1.3
0.031,4.1,345.0,20.0,1.4
0.031,4.1,345.0,20.0,1.5
0.031,4.1,345.0,20.0,1.6
0.031,4.1,350.0,20.0,1.0
0.031,4.1,350.0,20.0,1.1
0.031,4.1,350.0,20.0,1.2
0.031,4.1,350.0,20.0,1.3
0.031,4.1,350.0,20.0,1.4
0.031,4.1,350.0,20.0,1.5
0.031,4.1,350.0,20.0,1.6
0.031,4.1,350.0,20.0,1.7
0.031,4.2,315.0,20.0,1.0
0.031,4.2,320.0,20.0,1.0
0.031,4.2,320.0,20.0,1.1
0.031,4.2,325.0,20.0,1.0
0.031,4.2,325.0,20.0,1.1
0.031,4.2,325.0,20.0,1.2
0.031,4.2,330.0,20.0,1.0
0.031,4.2,330.0,20.0,1.1
0.031,4.2,330.0,20.0,1.2
0.031,4.2,335.0,20.0,1.0
0.031,4.2,335.0,20.0,1.1
0.031,4.2,335.0,20.0,1.2
0.031,4.2,335.0,20.0,1.3
0.031,4.2,340.0,20.0,1.0
0.031,4.2,340.0,20.0,1.1
0.031,4.2,340.0,20.0,1.2
0.031,4.2,340.0,20.0,1.3
0.031,4.2,340.0,20.0,1.4
0.031,4.2,345.0,20.0,1.0
0.031,4.2,345.0,20.0,1.1
0.031,4.2,345.0,20.0,1.2
0.031,4.2,345.0,20.0,1.3
0.031,4.2,345.0,20.0,1.4
0.031,4.2,345.0,20.0,1.5
0.031,4.2,350.0,20.0,1.0
0.031,4.2,350.0,20.0,1.1
0.031,4.2,350.0,20.0,1.2
0.031,4.2,350.0,20.0,1.3
0.031,4.2,350.0,20.0,1.4
0.031,4.2,350.0,20.0,1.5
0.031,4.2,350.0,20.0,1.6
0.031,4.3,315.0,20.0,1.0
0.031,4.3,320.0,20.0,1.0
