Binary,Expresso_tts,Num_gates,Optimal_net,Permu_int,Num_in
01100101,"Or(And(x[0], ~x[1]), And(~x[0], x[1], ~x[2]), And(x[0], x[2]))",7,"O = NOR(I1, I5),I1 = NOR(I2, I8),I2 = NOR(I3, I5),I3 = NOR(I4, c),I4 = NOR(a),I5 = NOR(b, I3)",45,3
01100110,"Or(And(x[0], ~x[1]), And(~x[0], x[1]))",7,"O = NOR(I1),I1 = NOR(I2, I4),I2 = NOR(c, I3),I3 = NOR(c, b),I4 = NOR(I5),I5 = NOR(I6, a),I6 = NOR(b, I3)",9,2
01100111,"Or(And(x[0], ~x[1]), And(~x[0], x[1]), And(x[1], x[2]))",7,"O = NOR(I1, I2),I1 = NOR(b, c),I2 = NOR(I3, I4),I3 = NOR(c),I4 = NOR(I5),I5 = NOR(I6, a),I6 = NOR(b)",25,3
01101000,"Or(And(~x[0], ~x[1], x[2]), And(~x[0], x[1], ~x[2]), And(x[0], ~x[1], ~x[2]))",8,"O = NOR(I1, I9),I1 = NOR(I2, I3),I2 = NOR(b, c),I3 = NOR(a, I4),I4 = NOR(I5, I7),I5 = NOR(c, I2),I7 = NOR(b, I2)",233,3
01101001,"Or(And(~x[0], ~x[1], x[2]), And(~x[0], x[1], ~x[2]), And(x[0], x[1], x[2]), And(x[0], ~x[1], ~x[2]))",8,"O = NOR(I1, I13),I1 = NOR(I2, I3),I2 = NOR(b, I3),I3 = NOR(I4, I6),I4 = NOR(I5, c),I5 = NOR(a, c),I6 = NOR(a, I5)",105,3
01101010,"Or(And(~x[0], x[2]), And(~x[0], x[1]), And(x[0], ~x[1], ~x[2]))",5,"O = NOR(I1, I5),I1 = NOR(I2, I3),I2 = NOR(c, I3),I3 = NOR(a, b)",169,3
01101011,"Or(And(~x[0], x[2]), And(~x[0], x[1]), And(x[1], x[2]), And(x[0], ~x[1], ~x[2]))",8,"O = NOR(I1, I9),I1 = NOR(I2, I4),I2 = NOR(c, I3),I3 = NOR(a, b),I4 = NOR(I5, I7),I5 = NOR(I3, b),I7 = NOR(a, I3)",41,3
01101100,"Or(And(x[0], ~x[1]), And(~x[0], x[1], ~x[2]), And(~x[1], x[2]))",5,"O = NOR(I1, I5),I1 = NOR(I2, I3),I2 = NOR(c, I3),I3 = NOR(b, a)",169,3
01101101,"Or(And(x[0], ~x[1]), And(~x[0], x[1], ~x[2]), And(x[0], x[2]), And(~x[1], x[2]))",8,"O = NOR(I1, I9),I1 = NOR(I2, I4),I2 = NOR(c, I3),I3 = NOR(b, a),I4 = NOR(I5, I7),I5 = NOR(I3, a),I7 = NOR(b, I3)",41,3
01101110,"Or(And(~x[1], x[2]), And(x[0], ~x[1]), And(~x[0], x[1]))",6,"O = NOR(I1),I1 = NOR(I2, I4),I2 = NOR(c, I3),I3 = NOR(b, a),I4 = NOR(b, I5),I5 = NOR(c)",137,3
01101111,"Or(x[2], And(x[0], ~x[1]), And(~x[0], x[1]))",7,"O = NOR(I1),I1 = NOR(I2, I4),I2 = NOR(c, I3),I3 = NOR(c, b),I4 = NOR(I5),I5 = NOR(I6, a),I6 = NOR(b, I3)",9,3
01110000,"Or(And(x[0], ~x[2]), And(x[1], ~x[2]))",2,"O = NOR(I1, b),I1 = NOR(c, a)",171,3
01110001,"Or(And(x[0], ~x[2]), And(x[1], ~x[2]), And(x[0], x[1]))",5,"O = NOR(I1, I4),I1 = NOR(I2, a),I2 = NOR(b, I3),I3 = NOR(b, c),I4 = NOR(c, I3)",43,3
01110010,"Or(And(x[0], ~x[2]), And(~x[0], x[1]))",5,"O = NOR(I1),I1 = NOR(I2, I4),I2 = NOR(b, I3),I3 = NOR(c, a),I4 = NOR(a, I3)",139,3
01110011,"Or(x[1], And(x[0], ~x[2]))",4,"O = NOR(I1),I1 = NOR(I2, c),I2 = NOR(b, I3),I3 = NOR(a)",11,3
01110100,"Or(And(x[0], ~x[1]), And(x[1], ~x[2]))",5,"O = NOR(I1),I1 = NOR(I2, I4),I2 = NOR(a, I3),I3 = NOR(c, b),I4 = NOR(b, I3)",139,3
01110101,"Or(x[0], And(x[1], ~x[2]))",4,"O = NOR(I1),I1 = NOR(I2, c),I2 = NOR(a, I3),I3 = NOR(b)",11,3
